sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_22_11_12,30,f,24A,Tray 1,0.664088742,4.929979148,0.343182863,22,13
P_22_11_5,30,f,14C,Tray 12,0.913564273,5.253985337,0.415672251,22,8
P_22_11_5,30,f,14B,Tray 2,0.905818637,4.798883433,0.494026778,22,1
P_22_11_11,30,f,15A,Tray 2,0.841509952,4.327974709,0.564260264,7,2
P_22_11_12,30,f,24B,Tray 2,0.551419601,3.795722069,0.480709859,22,12
P_22_11_11,30,f,15C,Tray 3,0.911695729,5.341292796,0.401371737,22,4
P_22_11_12,30,f,24C,Tray 3,0.547175788,3.521221497,0.554280784,22,14
P_22_11_4,30,f,17A,Tray 7,0.702522841,3.869845968,0.589199989,22,1
P_22_11_4,30,f,17B,Tray 7,0.668975008,3.540660523,0.670240945,22,0
P_22_11_4,30,f,17C,Tray 7,0.546017563,3.01688303,0.753493148,22,0
P_22_11_5,30,f,14A,Tray 8,0.885404905,4.988834331,0.446820817,22,6
P_22_11_6,30,m,7A,Tray 10,0.497480657,3.33611354,0.561415234,22,0
P_22_11_6,30,m,7B,Tray 12,0.767808779,3.983856864,0.607624477,22,4
P_22_11_1,30,m,28B,Tray 2,0.032701785,0.71762965,0.797554469,22,0
P_22_11_6,30,m,7C,Tray 2,0.800361262,4.555458398,0.484408249,22,1
P_22_11_1,30,m,28C,Tray 3,0.043492288,0.804600794,0.843802845,22,0
P_22_11_2,30,m,18A,Tray 4,0.458186938,6.177574494,0.150798271,22,1
P_22_11_2,30,m,18B,Tray 4,0.232183579,2.544158203,0.450539544,22,4
P_22_11_2,30,m,18C,Tray 7,0.077994753,1.534808637,0.415859433,22,9
P_22_12_6,31,f,30A,Tray 1,0.856978602,7.450124437,0.193924448,22,3
P_22_12_6,31,f,30B,Tray 2,0.841075617,6.875496065,0.223468651,22,5
P_22_12_6,31,f,30C,Tray 3,0.793651695,6.729602475,0.220110503,22,16
P_22_12_12,31,f,16A,Tray 4,0.995807362,6.253649021,0.319814364,22,16
P_22_12_12,31,f,16B,Tray 4,1.033114905,7.383264949,0.238035296,22,11
P_22_12_12,31,f,16C,Tray 4,0.992183382,6.943431762,0.258483749,22,12
P_22_12_4,31,f,18A,Tray 4,0.622759079,4.53971884,0.379534967,22,6
P_22_12_4,31,f,18B,Tray 4,0.667988706,5.48947333,0.278418058,22,0
P_22_12_4,31,f,18C,Tray 7,0.602291055,4.241877985,0.420416457,22,5
P_22_12_8,31,m,19A,Tray 1,1.091686752,13.10560301,0.079831385,22,0
P_22_12_2,31,m,7A,Tray 10,0.989894076,7.045066254,0.250500272,22,6
P_22_12_10,31,m,14C,Tray 12,0.357452952,2.33698796,0.822044973,22,0
P_22_12_2,31,m,7B,Tray 12,1.015913441,6.215376337,0.330302215,22,17
P_22_12_10,31,m,14B,Tray 2,0.61686389,2.170713661,1.644272936,22,0
P_22_12_8,31,m,19B,Tray 2,0.654569573,6.609134324,0.188215894,22,2
P_22_12_2,31,m,7C,Tray 2,0.93620397,5.716889756,0.359782871,22,7
P_22_12_8,31,m,19C,Tray 7,0.409622887,5.169906504,0.192490134,22,0
P_22_12_14,31,m,27A,Tray 7,0.664183753,5.580412995,0.267883031,22,14
P_22_12_14,31,m,27B,Tray 7,0.56786098,5.187327638,0.26506007,22,15
P_22_12_14,31,m,27C,Tray 7,0.765193722,5.029124908,0.379993522,22,3
P_22_12_10,31,m,14A,Tray 8,0.815789193,3.685343378,0.754417352,22,1
P_22_12_3,31,m,31A,Tray 9,0.726465543,4.307392211,0.491785616,22,6
